Titel,Teaser,Datum,Link,Inhalt
"Bösch: ""Gießkannenförderung"" für Transeuropäische Verkehrsnetze verhindert",Rat und EU-Parlament einig über TEN-Finanzierung 2007-2013,2006-11-30T16:31:16+01:00,https://www.ots.at/presseaussendung/OTS_20061130_OTS0293/boesch-giesskannenfoerderung-fuer-transeuropaeische-verkehrsnetze-verhindert,"Rat und EU-Parlament einig über TEN-Finanzierung 2007-2013Wien (SK) - Der Haushaltsausschuss des Europäischen Parlaments hatin seiner heutigen Sitzung einen mit dem Rat verhandelten Kompromissüber die Finanzierungsverordnung der Transeuropäischen Verkehrs- undEnergienetze 2007-2013 beschlossen. Die Staats- und Regierungschefsder EU haben im Rahmen der Finanziellen Vorrauschau drastischeKürzungen der Mittel für die Transeuropäischen Netze (TENs) um fastzwei Drittel bewirkt. Statt ursprünglich rund 21 werden nun achtMilliarden Euro für die gesamte Laufzeit zur Verfügung stehen. ****""Infolge des heutigen Beschlusses wird es aber möglich sein, die nochübrig gebliebenen Mittel konzentriert und damit sinnvoll einzusetzen.Die Anwendung des `Gießkannenprinzips` hätte die Finanzierung allerStrecken gefährdet"", zeigte sich der SPÖ-Europaabgeordnete undChefverhandler für die SPE-Fraktion, Herbert Bösch, zufrieden überdie Einigung.Die Einigung enthält Kofinanzierungsraten, die 20 Prozent für 30prioritäre Verkehrsstrecken und 30 Prozent für diegrenzüberschreitenden Abschnitte dieser Verbindungen ausmachen. ""Vorallem die Konzentration auf grenzüberschreitende Abschnitte ist demEuropäischen Parlament ein großes Anliegen. Gerade dort kommt es oftzu großen Probleme, da ihnen auf nationaler Ebene geringere Prioritäteingeräumt wird und es ein größerer Koordinierungsaufwanderforderlich ist"", so Bösch heute gegenüber dem SPÖ-Pressedienst.Zusätzliche Förderkriterien werden ermöglichen, dass die Mittel vonAnfang an gezielt dorthin fließen, wo sie nicht nur gebraucht sondernauch sinnvoll verwendet werden. Bösch: ""So werden Projekte infortgeschrittenem Baustadium bevorzugt gefördert. Auch dieAusgewogenheit der Finanzierungsmodelle wird als Kriterium angewandtwerden. Somit müssen Regierungen Verpflichtungen über nationaleKofinanzierungen eingehen"". Österreich, das von sechs der 30prioritären Strecken betroffen ist, wird die Konzentrierung derverbliebenen Mittel zu spüren bekommen. ""Es werden wohl nur mehr zweibis drei dieser Strecken mit nennenswerten EU-Förderungen rechnenkönnen"", betonte der Europaabgeordnete.Es ist dem Europäischen Parlament gelungen, klare Regelungen für dieRückzahlung und Streichung von bereits ausbezahlten Zuschüssen imFalle der Nichteinhaltung der vorgegebenen Fristen zu erreichen. ""Dasist sehr wichtig, um den notwendigen Druck auf die Mitgliedstaatenauch nach der Auszahlung der Gelder bis hin zum fertigen Ausbau derStrecke aufrecht zu erhalten"", zeigt sich Bösch zufrieden. Durch dieschnelle Einigung mit dem Rat könne die Umsetzung der Projekte Anfang2007 beginnen. (Schluss) up/mmRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖBöschEUVerkehrChannelPolitik"
"Regierungsverhandlungen: Einigkeit in einer Reihe von Punkten zur Inneren Sicherheit, Justiz und Medien",Gusenbauer: Keine Entscheidung über A-Card - soll zuerst mit Sozialpartnern besprochen werden,2006-11-30T16:19:23+01:00,https://www.ots.at/presseaussendung/OTS_20061130_OTS0288/regierungsverhandlungen-einigkeit-in-einer-reihe-von-punkten-zur-inneren-sicherheit-justiz-und-medien,"Gusenbauer: Keine Entscheidung über A-Card - soll zuerst mit Sozialpartnern besprochen werdenWien (SK) - Einigung in einer Reihe von Punkten konnte heute diegroße Verhandlungsrunde zur Bildung einer Bundesregierung zwischenSPÖ und ÖVP erzielen. So gebe es u.a. Konsens hinsichtlich derSchaffung eines Asylgerichtshofs, bei Maßnahmen gegen illegaleZuwanderung und bei der Schaffung einer Integrationsplattform und beieinigen Justizfragen, berichtete Donnerstag SPÖ-Vorsitzender AlfredGusenbauer in einer gemeinsamen Pressekonferenz mit ÖVP-ObmannSchüssel nach der Verhandlungsrunde. Auf dem Programm derVerhandlungsrunde sind die Bereiche Innere Sicherheit, Integrationund Zuwanderung, Justiz, Kunst, Medien und Sport gestanden. EineZustimmung zur A-Card, dem Vorschlag der Innenministerin übertemporäre Aufenthaltsmöglichkeiten, habe es von Seiten der SPÖ nichtgegeben. Eine Entscheidung sei vorerst verschoben worden. DiesesThema soll zuerst mit den Sozialpartnern diskutiert werden, um dieAuswirkungen auf den Arbeitsmarkt zu klären, so Gusenbauer. ****Bei der nächsten Verhandlungsrunde kommenden Mittwoch, sollen danndie Präsidenten der Sozialpartner und der Industriellenvereinigungbei gezogen werden, um ihre Vorschläge zu den Themen Arbeit, WachstumBildung und Wirtschaft zu diskutieren. Dadurch verspricht sichGusenbauer eine Erhöhung der Dynamik bei den Verhandlungen. Es istaußerdem vereinbart worden, einige Verhandlungstermine zusammen zuziehen, damit zügig weiterverhandelt werden kann. Insgesamt sei sehrkonstruktiv verhandelt worden, getragen von der Absicht, Lösungen zufinden, so Gusenbauer über das Klima in der Verhandlungsrunde.Durch einen Asylgerichtshof sollen die Verfahrendauer beträchtlichverkürzt werden. Einigkeit herrsche auch darüber, dass gegen illegaleZuwanderung restriktiv vorgegangen werden müsse. ""Das erwarten sichdie Menschen zu Recht von der Politik"", unterstrich Gusenbauer.Überall, wo es möglich sei, soll die unkontrollierte Zuwanderungeingeschränkt werden. ""Es gibt das ganz klare Signal, alles gegen dieunkontrollierte Zuwanderung zu tun"", unterstrich der SPÖ-Vorsitzende.Gleichzeitig soll aber die Integrationsbemühungen für legal inÖsterreich lebenden Zuwanderer verstärkt werden, sagte der SPÖ-Chef.Aufgegriffen wurde auch der Vorschlag der SPÖ, dass eineIntegrationsplattform eingerichtet wird, um auf Expertenebene alleFragen der Zuwanderung zu klären.Ein gemeinsames Ziel von SPÖ und ÖVP sei es, dass Österreich einsicheres Land nach Innen und Außen ist. Hinsichtlich der Öffnung derGrenzen aufgrund des Schengenbeitritts der östlichen Nachbarländermüsse man noch weitere organisatorische Vorbereitungen treffen, damitdie Sicherheit gewährleistet bleibt, so Gusenbauer. DieÜbergangsmöglichkeiten zwischen der Justizwache und der Polizeisollen erweitert werden; und es soll eine klare gesetzlicheNormierung für die vielen privaten Sicherheitsdienste geben. Essollen allgemeine Standards und eine gemeinsame Ausbildung geschaffenwerden.Im Bereich Justiz haben man Einigkeit erzielt, beim Straf- undVollzugsrecht Reformen durchzuführen. Auch bei der Opferhilfe, imZivilrechtsbereich und im Wohnrecht soll es Änderungen geben. Ineinigen Punkten habe es aber keine Lösung gegeben, berichteteGusenbauer. Das betrifft vor allem die Frage der eingetragenenPartnerschaften, das Mietrecht bzw. Unterhaltsansprüche berührend.Auch hinsichtlich eines Bundesstaatsanwaltes hat es keine Einigunggegeben.Ob es nun am 20. Dezember nun einen fertigen Koalitionspakt gebenwird, konnte Gusenbauer nicht endgültig beantworten. An diesem Tagsollten aber die letzten inhaltlichen Kapitel abgeschlossen sein. Obdann auch die Ressortzuteilung bereits erfolgt sei, bzw. welchePunkte dann noch in einer Schlussrunde behandelt werden müssen, daswird man dann sehen, so der SPÖ-Chef. Er erwartet sich jedenfallsdurch die Hinzuziehung der Sozialpartner einen Schwung in denVerhandlungen, da diese in wesentlichen Bereichen bereitsvorgearbeitet haben.Der geschäftsführende SPÖ-Klubobmann Josef Cap berichtete, dass esbezüglich einer Medienbehörde eine weitgehende Einigkeit gibt. Sosoll diese Behörde einen Zuwachs an Kompetenzen erfahren undunabhängig sein. Es soll einen zweistufigen Instanzenzug geben.(Schluss) nsRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖGusenbauerRegierungsverhandlungenChannelPolitik"
"Gusenbauer: ""Es kann keine Anti-Kinder-Erlässe geben""","Wien (SK) - ""Es kann keine Anti-Kinder-Erlässe geben."" Das stellte SPÖ-Vorsitzender Alfred Gusenbauer am Donnerstag in einer Pressekonferenz im Zusammenhang mit dem Haubner-Erlass im Rahmen der Regierungsverhandlungen...",2006-11-30T15:55:52+01:00,https://www.ots.at/presseaussendung/OTS_20061130_OTS0282/gusenbauer-es-kann-keine-anti-kinder-erlaesse-geben,"Wien (SK) - ""Es kann keine Anti-Kinder-Erlässe geben."" Das stellteSPÖ-Vorsitzender Alfred Gusenbauer am Donnerstag in einerPressekonferenz im Zusammenhang mit dem Haubner-Erlass im Rahmen derRegierungsverhandlungen unmissverständlich klar. Hier müsse es einerechtliche Klarstellung geben, dass es für in Österreich lebendeAusländer keine Einschränkungen bei den Familienleistungen fürneugeborene Babys gibt und diese selbstverständlich die Leistungenerhalten, so Gusenbauer. Hier werde sich Innenministerin Prokop mitSozialministerin Haubner darum kümmern, dass es rasch zu einer Lösungkommt, so der SPÖ-Vorsitzende. **** (Schluss) psRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖGusenbauerHaubner-ErlassChannelPolitik"
Audio-OTS von Alfred Gusenbauer auf www.spoe.at,"Wien (SK) - Der SPÖ-Pressedienst stellt in Kürze O-Töne von SPÖ-Vorsitzendem Alfred Gusenbauer auf der SPÖ-Homepage unter http://www.spoe.at/jump.php?P=261 als Download zur Verfügung. Themen: ""Innere Sicherheit,...",2006-11-30T15:29:57+01:00,https://www.ots.at/presseaussendung/OTS_20061130_OTS0272/audio-ots-von-alfred-gusenbauer-auf-wwwspoeat,"Wien (SK) - Der SPÖ-Pressedienst stellt in Kürze O-Töne vonSPÖ-Vorsitzendem Alfred Gusenbauer auf der SPÖ-Homepage unterhttp://www.spoe.at/jump.php?P=261als Download zur Verfügung. Themen:""Innere Sicherheit, Zuwanderung und Haubner-Erlass"". **** (Schluss)mmRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖAudioGusenbauerChannelPolitik"
Darabos zu Grasser: Bundesregierung soll kaufmännischen Teil des Eurofighter-Vertrags offen legen,"Wien (SK) - ""Ich fordere die Bundesregierung auf, den kaufmännischen Teil des Eurofighterkaufvertrages offen zu legen"", so reagierte SPÖ-Bundesgeschäftsführer Norbert Darabos am Donnerstag gegenüber dem SPÖ-Pressedienst...",2006-11-30T14:10:35+01:00,https://www.ots.at/presseaussendung/OTS_20061130_OTS0232/darabos-zu-grasser-bundesregierung-soll-kaufmaennischen-teil-des-eurofighter-vertrags-offen-legen,"Wien (SK) - ""Ich fordere die Bundesregierung auf, denkaufmännischen Teil des Eurofighterkaufvertrages offen zu legen"", soreagierte SPÖ-Bundesgeschäftsführer Norbert Darabos am Donnerstaggegenüber dem SPÖ-Pressedienst auf die Aussagen FinanzministerGrassers, der von SPÖ-Vorsitzendem Alfred Gusenbauer gefordert hatte,zu sagen, ""was im Vertrag nicht stimmt"". Aus Sicht der SPÖ gebe es imkaufmännischen Teil nichts, was gegen eine solche Offenlegungspreche. ****""Wenn Grasser heute schon ordnerweise Unterlagen zum Eurofighterder Öffentlichkeit zugänglich macht, dann soll dies auch mit demkaufmännischen Teil des Kaufvertrages geschehen"", so Darabos. Wenndiese Offenlegung passiert sei, werde die SPÖ - ganz wie von Grassergewünscht - umgehend ihre Meinung dazu äußern und klar Stellungbeziehen. (Schluss) jsRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖDarabosGrasserEurofighterChannelPolitik"
Jarolim: Verbesserungsvorschläge zum Ausbau der Rechtsstaatlichkeit aufgreifen,Viele inhaltliche Übereinstimmungen zwischen Rechtsanwaltskammertag und SPÖ,2006-11-30T13:03:46+01:00,https://www.ots.at/presseaussendung/OTS_20061130_OTS0196/jarolim-verbesserungsvorschlaege-zum-ausbau-der-rechtsstaatlichkeit-aufgreifen,"Viele inhaltliche Übereinstimmungen zwischen Rechtsanwaltskammertag und SPÖWien (SK) - ""Der Österreichische Rechtsanwaltskammertag hat vieleunserer beständig geäußerten Bedenken bezüglich der gegenwärtigenHandhabung der Rechtspflege in Österreich bestätigt"", kommentierteSPÖ-Justizsprecher Hannes Jarolim den heute Donnerstag präsentiertenWahrnehmungsbericht des Österreichischen Rechtsanwaltskammertags. Soetwa der in den vergangenen zwei Jahren immer eklatanter gewordeneMangel an nichtrichterlichem Personal, der auch von derRichtervereinigung wiederholt beklagt wurde. Diese Verknappung gibtAnlass zur Befürchtung, dass die Qualität der Justizverwaltung undRechtssprechung nicht mehr lange aufrechterhalten werden kann. Daherfordere die SPÖ eine Aufstockung bzw. Zurücknahme derStellenkürzungen an nichtrichterlichem Personal, um dieSicherstellung des Funktionierens der Justiz im Interesse der Bürgerund Bürgerinnen zu garantieren. ****Auch die Reform der Strafprozessordnung bedarf einigerNachbesserungen. So verwies Jarolim in diesem Zusammenhang einmalmehr auf das von der SPÖ vorgelegte umfassende Justizprogramm, in demkonkrete Vorschläge der SPÖ zur Reform der Hauptverhandlung und desGeschworenenverfahrens dargelegt sind.Die Positionen des Rechtsanwaltskammertages zur Gesetzgebung aufEuropäischer Ebene teilt Jarolim ebenfalls: ""Es ist richtig, dass derGrundrechtsschutz im Bereich des Europarechts einen zu geringenStellenwert hat und dass das Gesetzgebungsverfahren teilweise zuwenig transparent ist."" Jedenfalls, so Jarolim abschließend, sei dieEinbindung aller Institutionen, die einen konstruktiven Beitragleisten wollen, notwendig für eine gut funktionierende Gesetzgebung.(Schluss) js/mmRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖJarolimJustizRechtsanwaltskammerChannelPolitik"
Jarolim: Bemerkenswerte Vorgänge um Nachfolge von Handelsgericht-Vizepräsidentin,Personalsenate von OLG und OGH sollen Justizministerin Entscheidung erschweren,2006-11-30T12:59:46+01:00,https://www.ots.at/presseaussendung/OTS_20061130_OTS0193/jarolim-bemerkenswerte-vorgaenge-um-nachfolge-von-handelsgericht-vizepraesidentin,"Personalsenate von OLG und OGH sollen Justizministerin Entscheidung erschwerenWien (SK) - ""Kritisch"" blicke SPÖ-Justizsprecher Hannes Jarolimauf die aktuellen Vorgänge rund um die Nachbesetzung des Amtes derVizepräsidentin am Handelsgericht Wien. Die Autarkie der Richter inihren Personalentscheidungen stehe außer Zweifel, die Vorschläge derPersonalsenate von Oberlandesgericht und OGH sind jedoch ""bemerkens-und hinterfragenswert"", wie Jarolim Donnerstag gegenüber demSPÖ-Pressedienst erklärte. Die Entscheidung über die Nachfolge derdemnächst in den Ruhestand tretenden Vizepräsidentin ""für dieJustizministerin durch bemerkenswerte Vorgangsweise argeinzuschränken"" hält der SPÖ-Justizsprecher für ""nicht glücklich"". Ergehe davon aus, dass Gastinger ""diese Vorschläge hinterfragen wird"".Von den beiden Personalsenaten wiederum erwarte sich Jarolim""Dreier-Vorschläge, wie sie auch sonst üblich sind"". ****Zum Hintergrund: sowohl der Personalsenat des Oberlandesgerichtesals auch jener des OGH hätten Justizministerin GastingerZweier-Vorschläge für die Nachfolge der Vizepräsidentin desHandelsgerichts übermittelt. Aus einem Pool von fünf Bewerberinnenund Bewerbern wurden von beiden Senaten zwei Männer ausgewählt,""vielleicht um Gastinger nicht die Möglichkeit zu geben, sichgegebenenfalls für eine Frau als Bestqualifizierte entscheiden zukönnen"", mutmaßte der SPÖ-Abgeordnete. Abschließend erklärte Jarolim,er erwarte sich von den Personalsenaten ""eine Nachjustierung ihrerVorschläge nach den Regeln der Transparenz und Objektivität"".(Schluss) up/mmRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖJarolimJustizHandelsgerichtPersonaliaChannelPolitikKarriere"
Trunk: Senkung der Klassenschülerhöchstzahl ist ein Eckpfeiler der SPÖ-Bildungspolitik,"Wien (SK) - ""Die Senkung der Klassenschülerhöchstzahl auf 25 Schüler ist im Bildungsprogramm der SPÖ ein durchgängiges Prinzip, das für alle Schultypen, von den Pflichtschulen über die AHS bis hin zu den...",2006-11-30T12:51:38+01:00,https://www.ots.at/presseaussendung/OTS_20061130_OTS0189/trunk-senkung-der-klassenschuelerhoechstzahl-ist-ein-eckpfeiler-der-spoe-bildungspolitik,"Wien (SK) - ""Die Senkung der Klassenschülerhöchstzahl auf 25Schüler ist im Bildungsprogramm der SPÖ ein durchgängiges Prinzip,das für alle Schultypen, von den Pflichtschulen über die AHS bis hinzu den BHS gilt"", erklärte am Donnerstag die Kärntner SPÖ-Abgeordneteund BSA-Landesvorsitzende Melitta Trunk gegenüber dem Pressedienstder SPÖ. ""Der Vorwurf gegen Bildungssprecher Erwin Niederwieser vonSeiten der Vorsitzenden der AHS-Lehrer-Gewerkschaft Eva Scholik ist"",so Trunk ""absolut unbegründet, da in den Koalitionsverhandlungengerade die Senkung der Klassenschülerhöchstzahl und die in diesemZusammenhang stehende Senkung der Klassenteilungsziffer wesentlichePunkte sind."" ****Für Trunk gilt es, die ÖVP, die in den letzten sechs Jahrendiesbezüglich untätig und unwillig war, von der Wichtigkeit dieserbildungspolitischen Maßnahme, die eine wesentlicheQualitätsverbesserung des Lehrens und Lernens darstellt, zuüberzeugen. ""Wir fassen den Angriff von Frau Scholik alsUnterstützung für die rasche Umsetzung des Bildungsprogramms der SPÖauf"", so die Kärntner SP-Abgeordnete.""Natürlich wird die Klassenschülerhöchstzahlsenkung nicht über Nachtin allen Schulen Österreichs umgesetzt werden können, sondern manwird hier Prioritäten setzen müssen und zuerst dort beginnen, wo eswirklich 'brennt'"", betonte Trunk abschließend (Schluss) cs/mmRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖTrunkBildungAHSChannelPolitik"
"Eurofighter: Kräuter für Sachverständigen, der Vertragsausstieg prüfen soll",Nach Grassers rechtsstaatlich bedenklicher Darbietung in heutiger Pressekonferenz,2006-11-30T12:47:42+01:00,https://www.ots.at/presseaussendung/OTS_20061130_OTS0184/eurofighter-kraeuter-fuer-sachverstaendigen-der-vertragsausstieg-pruefen-soll,"Nach Grassers rechtsstaatlich bedenklicher Darbietung in heutiger PressekonferenzWien (SK) - Nach der ""rechtsstaatlich bedenklichen Darbietung vonFinanzminister Grasser"" in einer Pressekonferenz heute Donnerstagverlangt der Fraktionsvorsitzende der SPÖ imEurofighter-Untersuchungsausschuss, Günther Kräuter, die möglichstrasche Bestellung eines Sachverständigen, der ganz konkret auf Basisder Aktenlage sowie der heutigen Grasser-Aussagen den Ausstieg ausdem Eurofighter-Deal per Gutachten für den Untersuchungsausschussprüfen werde. ""In diesem Punkt wurde bereits grundsätzlich Einigungzwischen den Fraktionen erzielt. Ich werde dem Vorsitzenden desAusschusses Anfang kommender Woche einen personellen Vorschlag miteinem prominenten Vertrags- und Schadenersatzrechtler unterbreiten"",so Kräuter gegenüber dem SPÖ-Pressedienst. **** (Schluss) ps/mmRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖKräuterEurofighterUntersuchungsausschussGrasserChannelPolitik"
Maier einstimmig zum Vorsitzenden des Ausschusses für Konsumentenschutz gewählt,"Ausschuss ist großer Erfolg für alle, denen Konsumentenschutz ein Anliegen ist!",2006-11-30T12:36:29+01:00,https://www.ots.at/presseaussendung/OTS_20061130_OTS0174/maier-einstimmig-zum-vorsitzenden-des-ausschusses-fuer-konsumentenschutz-gewaehlt,"Ausschuss ist großer Erfolg für alle, denen Konsumentenschutz ein Anliegen ist!Wien (SK) - Anlässlich der gestrigen Konstituierung derparlamentarischen Ausschüsse wurde SPÖ-KonsumentenschutzsprecherJohann Maier einstimmig zum Vorsitzenden des neuen Ausschussesgewählt. Erstmals in der Geschichte des Österreichischen Parlamentswurde ein Ausschuss für Konsumenten eingerichtet. Maier betonte, dassdieser Ausschuss ein großer Erfolg für all jene sei, denenKonsumentenschutz ein echtes Anliegen ist. Damit wurde einelangjährige Forderung des Salzburger SPÖ-Abgeordneten, der seit 1980als Konsumentenschützer in der Arbeiterkammer Salzburg tätig ist,erfüllt. In einem zweiten Schritt, so Maier, müssen die Kompetenzendes zuständigen Konsumentenschutzministeriums (BM für sozialeSicherheit, Generationen und Konsumentenschutz) erweitert werden.Österreich benötigt dringend ein starkesKonsumentenschutzministerium, das sich kraftvoll in alle Bereiche desKonsumentenschutzes einmischt - also überall dort, woKonsumenteninteressen betroffen sind. ****Maier unterstrich, dass er sich einen lebendigen Ausschuss wünsche,in dem Konsumentenprobleme ohne Vorbehalte behandelt, diskutiert undgelöst würden. Alle Fraktionen sind eingeladen sich an diesemAusschuss aktiv zu beteiligen, so Maier. Sein erstes Anliegen alsVorsitzender des Ausschusses für Konsumentenschutz sei dieWiedereinführung des Berichts zur Lage der KonsumentInnen. Daszuständige Ministerium habe seit 2003 keine Berichte mehr in Auftraggegeben. Neben Zahlen über Beschwerdefälle der Beratungseinrichtungenbeinhaltete der Bericht auch konkrete Problembeschreibungen undAnalysen, die für die Weiterentwicklung der österreichischenKonsumentenpolitik immer von maßgeblicher Bedeutung waren. Es istgeradezu unsere Pflicht, diesen Bericht wieder einzuführen, stellteMaier fest.Als weitere Schwerpunkte nannte Maier verbesserten Konsumentenschutzund Transparenz bei Finanzdienstleistungen, ein Maßnahmenpaket gegendie Überschuldung von Haushalten, Datenschutz und die Bekämpfung derInternetkriminalität.Mag. Johann Maier, LebenslaufLeiter der AK-Konsumentenberatung SalzburgIm Parlament seit 14.3.1996Volksschule 1958-1962, Allgemeinbildende höhere Schule 1962-1970,Studium der Rechte an der Universität Salzburg (Mag. iur.) 1971-1977;Präsenzdienst 1970-1971 (EF).Studienassistent bzw. Vertragsbediensteter an der UniversitätSalzburg 1973-1978, Universitätsassistent bzw. Vertragsassistent ander Universität Salzburg 1978-1980, Rechtspraxis am Landes- undBezirksgericht Salzburg 1979-1980, Angestellter der ArbeiterkammerSalzburg seit 1980, Leiter der Abteilung Konsumentenberatung seit1982.Sektionsvorsitzender der SPÖ Salzburg/Itzling seit 1995, Mitglied desLandesparteivorstandes der SPÖ Salzburg seit 1995,Bezirksparteivorsitzender-Stellvertreter der SPÖ Salzburg/Stadt seit1997, Vizepräsident der Arbeitsgemeinschaft für Sport undKörperkultur Österreich (ASKÖ) Salzburg seit 1997. StellvertretenderVorsitzender des Österreichischen Datenschutzrates seit 2003,Vorstandsmitglied im Österreichischen Antidoping-Comitee (ÖADC).(Schluss) ps/mmRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖMaierKonsumentenschutzChannelPolitik"
