Titel,Teaser,Datum,Link,Inhalt
Gusenbauer bei Präsentation der SPÖ-Online-Kampagne für junge Menschen,"""Österreichs Jugendliche brauchen mehr Chancen""",2006-05-29T12:16:13+02:00,https://www.ots.at/presseaussendung/OTS_20060529_OTS0150/gusenbauer-bei-praesentation-der-spoe-online-kampagne-fuer-junge-menschen,"""Österreichs Jugendliche brauchen mehr Chancen""Wien (SK) - ""'Farbe bekennen! Für mehr Fairness' ist einausgezeichneter Titel für eine Jugendkampagne, weil es heute zu wenigChancen für junge Menschen in Österreich gibt. Die SPÖ will an einemÖsterreich bauen, das mehr Fairness und Chancen bietet"", soSPÖ-Vorsitzender Alfred Gusenbauer am Montag in einer Pressekonferenzmit SPÖ-Landtagsabgeordneter Laura Rudas undSPÖ-Bundesjugendkoordinator Fritz Radlspäck. ""Wir laden alle jungenMenschen ein, sich an der Kampagne zu beteiligen. Es sind keineGrenzen gesetzt, weder virtuell, noch real"", stellte Rudas fest, dieebenfalls betonte, dass es sich um die erste Kampagne Österreichshandelt, bei der sich die User in so großem Ausmaß einbringen können.****Die SPÖ habe eine Reihe von Angeboten, um den Jugendlichen bessereund mehr Chancen zu bieten: ""Mehr Bildung ist der Schlüssel zu mehrChancen. Die Bildungsreform der SPÖ ist die Grundlage für einebessere Zukunft."" Gusenbauer nannte aber auch einenLehrlingsausbildungsfonds und den freien Zugang zu den Universitätenals Schwerpunkte sozialdemokratischer Politik für junge Menschen. ""Anden Universitäten müssen wir aber auch die Bedingungen verbessern.Damit eine Situation geschaffen wird, in der hochwertige Ausbildunggeboten wird und wieder die Freude am Lernen im Vordergrund steht undnicht das Lottospielen um Seminarplätze.""Rudas stellte fest, dass junge Menschen sich gerne an der Politikbeteiligen. ""Aber als aktive Player. Politik muss spürbar sein, alsodort, wo die Junge sind."" Deshalb sei die Homepage der ""Jungen Roten""(www.jungerote.at) auch in vier Bereiche gegliedert, die sich alledurch besonders große Interaktivität auszeichnen. ""Wir wollen dieBrücke zwischen dem direkten Kontakt und dem Internet herstellen"",sagte Rudas. Der interaktive Teil biete für jeden und jede dieMöglichkeit, eigene Ideen, Vorschläge und Visionen in die Kampagneeinfließen zu lassen. ""Zum ersten Mal kann ein Wahlprogrammmitgestaltet werden"", erklärte Rudas. RedActive zielt besonders aufdie aktive Beteiligung der UserInnen ab, denn hier werden Vorschlägeder User in die Realität umgesetzt. ""Das ist eine noch nie dagewesene Beteiligungsoffensive, die das kreative und politischePotential der jungen Menschen in Österreich erkennbar machen soll.""Ebenso wird es auf der Homepage die Möglichkeit geben, Interviewsmit Prominenten zum Thema Fairness zu lesen. Die Auswahl derProminenten erfolgt auch hier wieder in der Diskussion mit den Usern.Und über den Bereich ""Rent a politican"" können PolitikerInnen zuPartys und Veranstaltungen eingeladen werden. Im Serviceteil findensich neben diversen Webfeatures wie Games und Wallpapers auch diekostenlose Führerscheinsimulation und das SPÖ-Parteiprogramm. ""DieseAngebot ist für eine politische Partei völlig neu, und ich binzuversichtlich, dass wir mit den jungen Menschen in Österreich einespannende Kampagne gestalten werden"", unterstrich Radlspäck.Abschließend sagte Gusenbauer: ""Ich bin überzeugt, dass es eine wahreBeteiligungsoffensive der kreativen Jugendlichen Österreichs gebenwird, denn junge Menschen müssen in diesem Land wieder eine Chancenhaben, diese Kreativität auch umzusetzen."" (Schluss) jsRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖGusenbauerRudasRadlspäckJugendOnline-KampagneChannelPolitik"
Gusenbauer zu ORF: öffentliche Diskussion über Qualität und Reichweite sehr begrüßenswert,Management braucht Antwort auf Seherverluste,2006-05-29T12:07:22+02:00,https://www.ots.at/presseaussendung/OTS_20060529_OTS0142/gusenbauer-zu-orf-oeffentliche-diskussion-ueber-qualitaet-und-reichweite-sehr-begruessenswert,"Management braucht Antwort auf SeherverlusteWien (SK) - Es ist dringend notwendig und sehr begrüßenswert, dasses eine öffentliche Diskussion über Qualität und Quoten des ORF gibt.Auch die Stimmen aus dem ORF verdeutlichen, dass die Unzufriedenheitmit dem aktuellen Zustand groß sei, so SPÖ-Vorsitzender AlfredGusenbauer am Montag im Rahmen einer Pressekonferenz. ""AlsGebührenzahler und Österreicher bin ich an einer starkenrot-weiß-roten Stimme, einem öffentlich-rechtlichen Rundfunk,interessiert. Das ist wichtig für die Demokratie undMeinungsbildung"", so Gusenbauer. Wenn die Einschaltquoten aberdramatisch sinken und die Reichweiten stark rückläufig sind, dannzeigt dies, dass die Geschäftsführung nicht erfolgreich ist. ""Jederweiß, dass Werner Mück der Hauptverantwortliche für dieInformationssendungen ist, die besonders stark vom Zuschauerschwundbetroffen sind. Er ist einer der Haupttotengräber desöffentlich-rechtlichen Rundfunks"". Sein ""offener Brief"" sei der besteBeweis für die Richtigkeit der Kritik an ihm. ****Es sei wichtig, dass der ORF ein österreichischer Rundfunk undnicht der ÖVP-Rundfunk sei. ""Das gilt es bei der Neubesetzung desManagements zu berücksichtigen"", betonte der SPÖ-Vorsitzende. DieKandidaten für die Positionen sollen ihre Vorschläge, wie man dieLage des ORF verbessern kann, vorbringen. ""Herr Mück selbst siehtsich als Kandidat. Der 'offene Brief' war ja eine Eigenanzeige fürdie Position des Informationsdirektors. Aber wie der ORF aus derMisere der sinkenden Quoten und der verärgerten Zuseher herauskommenwill, darauf geht er überhaupt nicht ein"", stellte Gusenbauer fest.Was und wie Dinge geändert werden müssten, eine Selbstkritik, wasbisher falsch gelaufen sei und wie man dies beheben wolle, lasse Mückgänzlich außen vor. ""Ich habe eher den Eindruck, dass hier einfalsches Verständnis vorherrscht.""Management für Erfolg und Misserfolg verantwortlichWährend Gusenbauer eine öffentliche Diskussion und die Initiativenfür den ORF begrüßte, hielt der SPÖ-Vorsitzende auch fest, dass einePolitisierung der Debatte unpassend sei. ""Eine öffentliche Diskussionüber Qualität und Reichweite ist wichtig und dringend notwendig.""Die aktuelle Einschaltquoten, die teilweise dramatische Rückgängeausweisen, zeigen klar, dass die aktuelle Geschäftsführung nichterfolgreich ist. Wie in jedem anderen Unternehmen auch, sei letztlichdas Management für den Erfolg verantwortlich. Wenn dieGeneraldirektorin nicht erfolgreich ist, dann gebe es keineVeranlassung, die Erfolglosigkeit zu prolongieren. (Schluss) jsRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖGusenbauerORFChannelPolitik"
Audio-OTS von SPÖ-Vorsitzendem Gusenbauer auf www.spoe.at,"Wien (SK) - Der SPÖ-Pressedienst stellt in Kürze O-Töne von SPÖ-Vorsitzendem Alfred Gusenbauer auf der SPÖ-Homepage unter http://www.spoe.at/jump.php?P=261 als Download zur Verfügung. Thema: ""ORF"". **** (Schluss)...",2006-05-29T10:55:00+02:00,https://www.ots.at/presseaussendung/OTS_20060529_OTS0089/audio-ots-von-spoe-vorsitzendem-gusenbauer-auf-wwwspoeat,"Wien (SK) - Der SPÖ-Pressedienst stellt in Kürze O-Töne vonSPÖ-Vorsitzendem Alfred Gusenbauer auf der SPÖ-Homepage unterhttp://www.spoe.at/jump.php?P=261als Download zur Verfügung. Thema:""ORF"". **** (Schluss) mpRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖAudioGusenbauerChannelPolitik"
"Mittwoch, 31. Mai: SPÖ-Konsumentenschutzsprecher Maier - Pressekonferenz um 10 Uhr in Salzburg","Wien (SK) - SPÖ-Konsumentenschutzsprecher und Mitglied des Justizausschusses, Johann Maier, nimmt kommenden Mittwoch, 31. Mai 2006, in einer Pressekonferenz zum Thema ""ÖVP/BZÖ-Wohnrechtsreform: Wohnungseigentümer...",2006-05-29T10:27:44+02:00,https://www.ots.at/presseaussendung/OTS_20060529_OTS0069/mittwoch-31-mai-spoe-konsumentenschutzsprecher-maier-pressekonferenz-um-10-uhr-in-salzburg,"Wien (SK) - SPÖ-Konsumentenschutzsprecher und Mitglied desJustizausschusses, Johann Maier, nimmt kommenden Mittwoch, 31. Mai2006, in einer Pressekonferenz zum Thema ""ÖVP/BZÖ-Wohnrechtsreform:Wohnungseigentümer und Mieter im Regen stehen gelassen"" Stellung.Zahlreiche Probleme sind ungelöst: Wohnkosten nicht reduziert,Mietrechte eingeschränkt, Hausverwaltungen gestärkt - Fazit: DieRegierungsparteien haben aus dem Fall Marterbauer nichts gelernt.****Zeit: Kommenden Mittwoch, 31. Mai 2006, 10 UhrOrt: Haus der SPÖ, Wartelsteinstraße 1, 5020 SalzburgDie VertreterInnen der Medien sind herzlichst eingeladen.(Schluss) mpRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖTerminMaierChannelPolitik"
Berger begrüßt Festhalten der Außenminister an EU-Vertrag,=,2006-05-29T10:16:15+02:00,https://www.ots.at/presseaussendung/OTS_20060529_OTS0067/berger-begruesst-festhalten-der-aussenminister-an-eu-vertrag,"=Wien (SK) - Maria Berger, Leiterin der SPÖ-Delegation imEuropäischen Parlament, begrüßt das Festhalten der EU-Außenministeran der Europäischen Verfassung mit dem in Klosterneuburgbeschlossenen Zieldatum 2009. ""Nun gilt es alles daran zu setzen, soviel wie möglich von den Inhalten des Verfassungsvertrages zuerhalten"", so Berger heute gegenüber dem SPÖ-Pressedienst. ****Die Bezeichnung des Vertrages sei weniger wichtig als sein Inhalt,meint Berger zu den Überlegungen der Außenminister, von derBezeichnung ""EU-Verfassung"" abzurücken. ""Auch beim jetzt vorliegendenProdukt handelt es sich der Form nach um einen Vertrag. Aufgrund vonverfassungsrechtlichen Elementen wie der Grundrechtecharta gleicht eraber dem Inhalt nach einer Verfassung"", betonte Berger als Mitgliedim ehemaligen EU-Konvent.Um die Inhalte des Vertrages ohne gröbere Abstriche zu erhalten,sei entscheidend, dass Korrekturarbeiten am Text nicht nur aufAußenminister- und Beamtenebene aufgenommen werden. ""Es muss eine demEU-Konvent, der für die Erstellung des Vertragswerks verantwortlichzeichnete, ähnliche Struktur gefunden werden. Insbesondere ist eineBeteiligung der nationalen sowie des Europäischen Parlamentsunverzichtbar"", schloss Berger. (Schluss) ns/mpRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖEUBergerVerfassungChannelPolitik"
"H e u t e   Montag, 29. Mai: Gusenbauer und Rudas präsentieren neue interaktive Online-Kampagne der SPÖ","SPÖ setzt auf Internet-Generation: ""Farbe bekennen! Für mehr Fairness""",2006-05-29T09:11:17+02:00,https://www.ots.at/presseaussendung/OTS_20060529_OTS0025/h-e-u-t-e-montag-29-mai-gusenbauer-und-rudas-praesentieren-neue-interaktive-online-kampagne-der-spoe,"SPÖ setzt auf Internet-Generation: ""Farbe bekennen! Für mehr Fairness""Wien (SK) - H e u t e Montag, 29. Mai 2006, präsentierenSPÖ-Bundesparteivorsitzender Alfred Gusenbauer, SPÖ-GemeinderätinLaura Rudas und SPÖ-Bundesjugendkoordinator Fritz Radlspäck um 10 Uhrdie neue interaktive Online-Kampagne der SPÖ, ""Farbe bekennen! - Fürmehr Fairness"". ****Zeit: H e u t e Montag, 29. Mai 2006, 10 UhrOrt: Cafe Stein, Währinger Straße 6-8, 1090 WienDie VertreterInnen der Medien sind herzlich eingeladen. (Schluss)js/mpRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖTerminGusenbauerRudasOnline-KampagneChannelPolitik"
Darabos: Glatte Unwahrheit von Mück - Sofortige Richtigstellung gefordert,"Wien (SK) - ""Wie sehr der ORF TV-Chefredakteur Werner Mück selbst politisiert, zeigt er in seinem offenen Brief überdeutlich. Dass er dabei vor glatten Unwahrheiten nicht zurückschreckt, wird dabei ebenfalls...",2006-05-28T15:42:44+02:00,https://www.ots.at/presseaussendung/OTS_20060528_OTS0048/darabos-glatte-unwahrheit-von-mueck-sofortige-richtigstellung-gefordert,"Wien (SK) - ""Wie sehr der ORF TV-Chefredakteur Werner Mück selbstpolitisiert, zeigt er in seinem offenen Brief überdeutlich. Dass erdabei vor glatten Unwahrheiten nicht zurückschreckt, wird dabeiebenfalls klar. Die von Mück behauptete Aussage von SPÖ-VorsitzendemAlfred Gusenbauer ist in dieser Form nie gemacht worden"", sagteSPÖ-Bundesgeschäftsführer Norbert Darabos am Sonntag gegenüber demSPÖ-Pressedienst. Darabos fordert eine sofortige Richtigstellung.****Mück beschuldigt SPÖ-Vorsitzenden Alfred Gusenbauer, dass dieserihm angekündigt habe, ""alles zu tun, um ihn aus dem ORF zuentfernen"". Darabos erklärte dazu: ""Das ist eine glatte Unwahrheit.""""Mück verträgt offensichtlich sachlich und fachlich begründeteKritik nicht"", so Darabos weiter, der betonte: ""Zu dieser Kritik ander Verflachung der Information, am ständigen Ausblenden von Themen,die den Regierungsparteien unangenehm sind, am vorauseilendenVermeiden von Konfrontationen zwischen Regierungs- undOppositionspolitikern und zur Kritik an der in allen Untersuchungenmessbaren Bevorzugung von ÖVP-Politikern in denZeit-im-Bild-Sendungen bekennen wir uns. Die negativen Reaktion desPublikums und die Abwendung von immer mehr Menschen vom ORF zeigen,wie berechtigt diese Kritik ist.""""Es stünde der ORF-Geschäftsführung besser an, darübernachzudenken, wie sie das verlorene Vertrauen des Publikumszurückgewinnen will, anstatt zu politisieren und interne kritischeStimmen im Stile alter Sowjet-Funktionäre einzuschüchtern"", erklärteder SPÖ-Bundesgeschäftsführer.""Dass Mück zu diesen Mitteln der Manipulation greift, zeigt, dasser sich als verlängerter Arm der ÖVP versteht"", so Darabos. DieserUmstand werde durch Mücks offenen Brief auf Punkt und Beistrichbestätigt. (Schluss) wfRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖDarabosORFMückChannelPolitik"
Bures: ÖVP-Postenschacher bis zum bitteren Ende,"Wien (SK) - ""Wenn die ÖVP 'Entpolitisieren' sagt, heißt das doch immer nur 'Einschwärzen'. Und die ÖVP ist offenbar wild entschlossen, bis zum letzten Tag ihrer Regierungszeit ihre Parteifreunde mit Posten im...",2006-05-28T13:03:10+02:00,https://www.ots.at/presseaussendung/OTS_20060528_OTS0038/bures-oevp-postenschacher-bis-zum-bitteren-ende,"Wien (SK) - ""Wenn die ÖVP 'Entpolitisieren' sagt, heißt das dochimmer nur 'Einschwärzen'. Und die ÖVP ist offenbar wild entschlossen,bis zum letzten Tag ihrer Regierungszeit ihre Parteifreunde mitPosten im staatsnahen Bereich zu versorgen"", soSPÖ-Bundesgeschäftsführerin Doris Bures. ****Aktueller Hintergrund ihrer Kritik ist die Bestellung vonHans-Jörg Schelling in den Aufsichtsrat der Telekom Austria (TA)durch die Vertreter der Verstaatlichten-Holding ÖIAG, nachdem zuvorein kritisches Aufsichtsratsmitglied zwei Jahre vor Ablauf seinesMandats kurzerhand abberufen wurde. Heute wurde durch eineVorausmeldung des Wirtschaftsmagazins ""trend"" bekannt, dass Hans-JörgSchelling bei der Nationalratswahl auch für die ÖVP kandidieren will.Bures erinnerte daran, dass die Regierung im Jahr 2000 dengesamten ÖIAG-Aufsichtsrat neu - mit Millionenkosten für dieSteuerzahler - bestellt hat, mit der Erklärung, man wolle ihn""entpolitisieren"". ""Was darauf gefolgt ist, ist bekannt: einegnadenlose Einschwärzung ohne Rücksicht auf wirtschaftlicheVernunft"", sagte Bures am Sonntag gegenüber dem SPÖ-Pressedienst.Das Motto der ÖVP laute offensichtlich: ""Gewählt wird erst, wennalle versorgt sind und wir unseren Einfluss in allen Bereichengesichert haben. Beim Postenkarussell wird in den nächsten Wochen dieDrehzahl noch einmal erhöht"" kritisierte dieSPÖ-Bundesgeschäftsführerin. (Schluss) wfRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖBuresÖIAGRegierungÖVPChannelPolitikWirtschaft"
"Morgen Montag, 29. Mai: Blecha/Jarolim/Koppe - Pressekonferenz um 10.30 Uhr","Wien (SK) - PVÖ-Präsident Karl Blecha, SPÖ-Justizsprecher Hannes Jarolim und der ehemalige VKI-Chef und jetziger Senioren-Konsumentensprecher des Pensionistenverbandes, Fritz Koppe, nehmen morgen Montag, 29....",2006-05-28T10:25:01+02:00,https://www.ots.at/presseaussendung/OTS_20060528_OTS0017/morgen-montag-29-mai-blechajarolimkoppe-pressekonferenz-um-1030-uhr,"Wien (SK) - PVÖ-Präsident Karl Blecha, SPÖ-Justizsprecher HannesJarolim und der ehemalige VKI-Chef und jetzigerSenioren-Konsumentensprecher des Pensionistenverbandes, Fritz Koppe,nehmen morgen Montag, 29. Mai 2006, in einer gemeinsamenPressekonferenz zum Thema ""Lebensmittelrecht: Vergiften erlaubt?!""Stellung. ****Zeit: Morgen Montag, 29. Mai 2006, 10.30 UhrOrt: Café Landtmann, Dr. Karl Lueger Ring 4, 1010 WienDie VertreterInnen der Medien sind herzlichst eingeladen.(Schluss) mpRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖTermin-AvisoBlechaJarolimKoppeChannelPolitik"
"Morgen Montag, 29. Mai: Gusenbauer und Rudas präsentieren neue interaktive Online-Kampagne der SPÖ","SPÖ setzt auf Internet-Generation: ""Farbe bekennen! Für mehr Fairness""",2006-05-28T10:22:24+02:00,https://www.ots.at/presseaussendung/OTS_20060528_OTS0016/morgen-montag-29-mai-gusenbauer-und-rudas-praesentieren-neue-interaktive-online-kampagne-der-spoe,"SPÖ setzt auf Internet-Generation: ""Farbe bekennen! Für mehr Fairness""Wien (SK) - Morgen Montag, 29. Mai 2006, präsentierenSPÖ-Bundesparteivorsitzender Alfred Gusenbauer, SPÖ-GemeinderätinLaura Rudas und SPÖ-Bundesjugendkoordinator Fritz Radlspäck um 10.00Uhr die neue interaktive Online-Kampagne der SPÖ, ""Farbe bekennen! -Für mehr Fairness"". ****Zeit: Morgen Montag, 29. Mai 2006, 10.00 UhrOrt: Cafe Stein, Währinger Straße 6-8, 1090 WienDie VertreterInnen der Medien sind herzlich eingeladen. (Schluss)jsRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖTerminGusenbauerRudasOnline-KampagneChannelPolitik"
