Titel,Teaser,Datum,Link,Inhalt
"Morgen Donnerstag, 22. Februar: Schmied bei Staatspreis-Verleihung","Wien (SK) - Wir erlauben uns, die VertreterInnen der Medien an folgenden Termin zu erinnern: Bildungsministerin Claudia Schmied spricht bei der Verleihung der Auszeichnungen und Staatspreise zum Wettbewerb ""Die...",2007-02-21T10:31:53+01:00,https://www.ots.at/presseaussendung/OTS_20070221_OTS0077/morgen-donnerstag-22-februar-schmied-bei-staatspreis-verleihung,"Wien (SK) - Wir erlauben uns, die VertreterInnen der Medien anfolgenden Termin zu erinnern: Bildungsministerin Claudia Schmiedspricht bei der Verleihung der Auszeichnungen und Staatspreise zumWettbewerb ""Die schönsten Bücher Österreichs 2006"". ****Zeit: Morgen Donnerstag, 22. Februar 2007, 19.30 UhrOrt: Palais Niederösterreich, 1, Herrengasse 13(Schluss) mmRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NSKprintStichworteSPÖTerminSchmiedChannelPolitik"
"Buchinger: ""Allein 400 Millionen Euro mehr für soziale Absicherung""","Der neue Sozialminister im ZUK-""MinisterInnen-Checkpoint""",2007-02-21T09:19:29+01:00,https://www.ots.at/presseaussendung/OTS_20070221_OTS0023/buchinger-allein-400-millionen-euro-mehr-fuer-soziale-absicherung,"Der neue Sozialminister im ZUK-""MinisterInnen-Checkpoint""Wien (SK) - Die Bundesregierung unter Kanzler Alfred Gusenbauerstelle bis 2010 1 Milliarde Euro an zusätzlichen Mitteln zurVerfügung - davon ""allein 400 Millionen Euro mehr für die sozialeAbsicherung"", betonte Sozialminister Erwin Buchinger am Dienstagabendbeim ""MinisterInnen-Checkpoint"" in der SPÖ-Zukunfts- undKulturwerkstätte. Dass in Österreich 13 Prozent der Menschenarmutsgefährdet sind, sei eine ""Schande"", der man mit derbedarfsorientierten Mindestsicherung und einem Mindesteinkommen von1.000 Euro entgegenwirke, unterstrich Buchinger die klaresozialdemokratische Handschrift im Regierungsübereinkommen. Er seiihm in allen seinen bisherigen Funktionen möglich gewesen, für seine""Grundhaltung für sozialen Ausgleich, für Fairness und sozialeGerechtigkeit einzustehen"" - daraus beziehe er auch ""Lust undEngagement"" für seine Tätigkeit, so Buchinger. ****In der äußerst gut besuchten SPÖ-Zukunfts- und Kulturwerkstättediskutierten mit dem neuen Bundesminister für Soziales undKonsumentenschutz unter der Moderation von Tanja Dobart(Renner-Institut): Verena Buxbaum (Betriebsleiterin Jobfabrik),Carmen Fischer (Vorsitzende VSStÖ Wien) und Jürgen Michlmayr(ÖGB-Bundesjugendvorsitzender). Das Thema ""Verkauf"" sei in derPolitik zwar wichtig, es gelte aber, ""nicht warme Luft zu verkaufen"",warnte Buchinger mit Verweis darauf, dass es hier die ""richtigeMischung macht"".Bartenstein-Vorschlag zu Facharbeitern ""falsches Modell""Angesprochen auf das Thema Facharbeitermangel hielt der wegenseiner Kompetenz in Arbeitsmarktfragen vormals auch ""Mr. Arbeit""genannte neue Sozialminister fest, dass er den Vorschlag von MinisterBartenstein, zusätzliche Facharbeiter aus dem EU-Ausland zu holen,für ein ""falsches Modell"" halte. Vielmehr sei hier ""bremsend"" zuwirken, zudem gelte es etwa, die ""Blum-Prämie stärker anZukunftsberufe und an qualitätsorientierte Ausbildung zu binden"".Daneben seien die ergänzenden Maßnahmen (Lehrlingsstiftungen) zumbewährten System der dualen Ausbildung ""auszubauen"", so Buchinger inder Diskussion. Bezüglich des Jugendausbildungs-Sicherungsgesetzeshielt Buchinger fest, dass im Regierungsübereinkommen eine Ausweitungder Schulungsmaßnahmen von zehn auf 12 Monate vorgesehen sei, was ein""substanzielle Verbesserung"" darstelle. Von zentraler Bedeutung seies allerdings, die Möglichkeiten zu mehren, von den Kursen in einreguläres Beschäftigungsverhältnis zu kommen, so Buchinger.Für die SPÖ zähle die Devise ""More and better jobs"" - was durchnachhaltige und qualitätsorientierte Ausbildung erreicht werden soll-, so Buchinger mit Blick auf das ""ambitionierte Ziel"", dieJugendarbeitslosigkeit bis zum Ende der Legislaturperiode zuhalbieren und die generelle Arbeitslosigkeit um 25 Prozent zu senken.SPÖ hat bei Pensionen rasch für deutliche VerbesserungengesorgtEr habe sich als Sozialminister vorgenommen, ""seine Ziele undVorhaben rasch in der Öffentlichkeit darzustellen"", so Buchinger, derbetonte, dass man mit dem Bereich von Pensionen - Männer - Pflege -Menschen mit Behinderung sowie Konsumentenschutz und Mindestsicherungbereits ""die wichtigsten Felder abgesteckt habe"". Schon imPensionsbereich habe die SPÖ zeigen können, dass sie rasch deutlicheVerbesserungen für die Menschen umsetzt, erklärte Buchingerabschließend. (Schluss) mbRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NSKprintStichworteSPÖBuchingerSozialesMinisterInnen-CheckpointChannelPolitik"
Gusenbauer wünscht Busek baldige Genesung,"Wien (SK) - ""Gute Besserung"" wünscht Bundeskanzler Alfred Gusenbauer Alt-Vizekanzler Erhard Busek, der sich heute beim Skifahren schwer verletzt hat. ""Ich wünsche Erhard Busek baldige Genesung und hoffe, dass...",2007-02-20T18:19:16+01:00,https://www.ots.at/presseaussendung/OTS_20070220_OTS0225/gusenbauer-wuenscht-busek-baldige-genesung,"Wien (SK) - ""Gute Besserung"" wünscht Bundeskanzler AlfredGusenbauer Alt-Vizekanzler Erhard Busek, der sich heute beimSkifahren schwer verletzt hat. ""Ich wünsche Erhard Busek baldigeGenesung und hoffe, dass er rasch wieder gesund wird"", so Gusenbaueram Dienstag gegenüber dem SPÖ-Pressedienst. **** (Schluss) jsRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NSKprintStichworteSPÖGusenbauerBusekChannelPolitik"
"Donnerstag, 22. Februar: Schmied bei Staatspreis-Verleihung","Achtung! Neue Uhrzeit, neuer Ort",2007-02-20T15:14:00+01:00,https://www.ots.at/presseaussendung/OTS_20070220_OTS0192/donnerstag-22-februar-schmied-bei-staatspreis-verleihung,"Achtung! Neue Uhrzeit, neuer OrtWien (SK) - Bildungsministerin Claudia Schmied spricht kommendenDonnerstag, 22. Februar 2007, bei der Verleihung der Auszeichnungenund Staatspreise zum Wettbewerb ""Die schönsten Bücher Österreichs2006"". ****ACHTUNG! Neue UHRZEIT und neuer ORT!Zeit: Kommenden Donnerstag, 22. Februar 2007, 19.30 UhrOrt: Palais Niederösterreich, 1, Herrengasse 13(Schluss) mmRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NSKprintStichworteSPÖTerminSchmiedChannelPolitik"
Kalina: Klimaschutz ist Anliegen der gesamten Bundesregierung,Kyoto-Ziele: Regierung Schüssel hat schweres Erbe hinterlassen,2007-02-20T12:06:29+01:00,https://www.ots.at/presseaussendung/OTS_20070220_OTS0107/kalina-klimaschutz-ist-anliegen-der-gesamten-bundesregierung,"Kyoto-Ziele: Regierung Schüssel hat schweres Erbe hinterlassenWien (SK) - ""Klimaschutz ist eine Ministerien übergreifendeAngelegenheit, die von allen die größte Kraftanstrengung bedarf,damit Österreich bei den Kyoto-Zielen nicht auf dem letzten Platz inEuropa bleibt"", forderte SPÖ-Bundesgeschäftsführer Josef Kalinaanlässlich einer Pressekonferenz am Dienstag. Kalina betonte, dassfür die SPÖ Klimaschutz ein wesentliches Anliegen sei. ****""Die Regierung Schüssel hat im Bereich des Klimaschutzes ein schweresErbe hinterlassen"", kritisierte Kalina. ""Die Kyoto-Ziele wurden vonÖsterreich zwar akzeptiert und man verpflichtete sich den CO2-Ausstoßzu senken - im Gegenteil dazu wurde dieser in den letzten siebenJahren jedoch erhöht"", so der SPÖ-Bundesgeschäftsführer. Das Ergebnissei, dass Österreich nun in Europa auf dem schändlichen letzten Platzliege.Nun spüre der Landwirtschaftsminister Rückenwind, sagte Kalina.""Das ist der Rückenwind der neuen Bundesregierung, welcher derKlimaschutz und das Kyoto-Protokoll wichtig sind. Für die SPÖ istKlimaschutz tatsächlich ein wesentliches Anliegen"", betonte Kalina.""Wir verstehen die Kritik der Umweltorganisationen voll und ganz. Eshandelt sich beim Klimaschutz einfach um die Lebensgrundlage derMenschheit. Dazu können wir in Österreich und in der EU Wachstum undBeschäftigung erhöhen, wenn wir den Klimaschutz ernst nehmen.""Kalina erinnerte daran, dass im Regierungsprogramm ein Fonds von 500Millionen Euro für innovative Projekte im Bereich des Klimaschutzesvorgesehen sei. Es sind dies vor allem der Ausbau der erneuerbarenEnergie, der öffentlichen Verkehrsmittel und der Fernwärme, sowieauch die Wärmedämmung im Wohnbau. Als Vorbild diene hier Wien, wo imBereich des Ausbaus der Wärmedämmung 2.000 Arbeitsplätze pro Jahrgesichert werden. Der SPÖ-Bundesgeschäftsführer forderte abschließenddie ÖVP auf, dass die Bundesregierung gemeinsam die weiterenKlima-Ziele über das Jahr 2012 hinaus erarbeiten solle. (Schluss) gdRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NSKprintStichworteSPÖKalinaRegierungKlimaschutzChannelPolitik"
Kalina wirft Bartenstein mangelnden Teamgeist vor,Zu Fachkräftemangel: Bartenstein soll Bedarf in Österreich decken,2007-02-20T11:59:11+01:00,https://www.ots.at/presseaussendung/OTS_20070220_OTS0103/kalina-wirft-bartenstein-mangelnden-teamgeist-vor,"Zu Fachkräftemangel: Bartenstein soll Bedarf in Österreich deckenWien (SK) - Mangelnden Teamgeist wirft SPÖ-BundesgeschäftsführerJosef Kalina Arbeits- und Wirtschaftsminister Bartenstein vor.Während die anderen Regierungsmitglieder sich als Teamspielerbetätigten, hänge das längstdienende Regierungsmitglied Bartensteinnoch dem alten Kurs an, so Kalina. Er sprach konkret drei ""Fouls"" desWirtschaftsministers an: sein Vorpreschen mit einem unausgegorenenEntwurf zur Pflege, die Teilgewerbeverordnung und die PläneBartensteins, weitere 800 Facharbeiter aus den neuen EU-Staaten nachÖsterreich zu holen. ****Der SPÖ-Bundesgeschäftsführer betonte Dienstag in einerPressekonferenz, dass die beiden Verordnungen nicht gemacht werdensollten. Und er fordert auf jeden Fall Konsultationen mit demRegierungspartner und den Sozialpartnern.Mit der Verordnung zu den Teilgewerben werden dann beispielsweiseGipskartonspachtler, die Gipswände aufstellen und verspachteln, alseigenes Gewerbe angesehen, mit der Folge, dass sie auf Baustellennicht mehr wie bisher als Bauarbeiter angestellt werden, sondern alsSelbstständige arbeiten.So wie beim neuen Teilgewerbe Gipskartonspachtler will Bartensteinjetzt auch die ""lackierfreien Ausbeuler von Karosseriedellen"",Maurer, Beleuchter und Beschaller, Schweißarbeiter, die Anleger vonAromawickeln zukünftig als Selbstständige behandeln. Das bedeutetaber auch, dass damit der Zugang zur Scheinselbständigkeit aufgemachtwird, kritisierte Kalina. Er betonte: ""Das ist nicht der gemeinsameWeg.""Auch die geplante Verordnung von Bartenstein, die es Firmenerlaubt, 800 Facharbeiter (Schweißer, Dreher und Fräser) aus denneuen EU-Staaten anzuwerben, hält die SPÖ für ein Foul. Nicht nur,dass AK und ÖGB den behaupteten Facharbeitermangel in der Metallverarbeitenden Industrie für ""fiktiv"" halten - angesichts von 300.000Arbeitslosen, davon 57.000 in Schulungen, sollte es doch möglichsein, dass 800 Metall-Facharbeiter gefunden oder qualifiziert werden,argumentierte Kalina: ""Da wären Aktivitäten des Arbeitsministersgefragt.""Darüber hinaus hilft das AMS den Unternehmen mitImplacement-Stiftungen bei der Ausbildung von Fachkräften, dabeiwerden die kompletten Ausbildungskosten übernommen, erläuterte derSPÖ-Bundesgeschäftsführer. Er sieht also überhaupt keinen Grund fürdas zusätzliche Kontingent an Facharbeitern aus den neuen EU-Staaten- außer es stecke dahinter die Absicht, dass man gar nichts gegen diehohe Arbeitslosigkeit unternehmen will.Bei der Wirtschaft sei überdies die Bereitschaft, auf Fachkräftemit einem eigentlich sehr marktwirtschaftlichen Instrument, nämlichhöheren Löhnen, zu reagieren, wenig ausgeprägt. Kalina zitierte eineUmfrage, wonach nur 7 bis 8 Prozent der Unternehmer dazu bereitseien.Daher plädierte Kalina dafür, ""nicht immer den leichtesten Weg zuwählen"", und an Bartenstein richtete er den Appell, zum neuenTeamgeist zu finden. Damit hätten schließlich die anderenRegierungsmitglieder auch kein Problem, so Kalina, der hier dieMinister Hahn und Kdolsky nannte und die gute Gesprächsbasis zwischenBundeskanzler Gusenbauer und Vizekanzler Molterer betonte.Bartenstein sei ""ein alter Hase, der weiß, wie es in der Regierungläuft"", so Kalina. Deshalb müsse er auch wissen, dass er mit seinemunabgestimmten Vorgehen Irritationen auslöse. Kalina glaubt, dassBartenstein nach sieben Jahren Defacto-ÖVP-AlleinregierungUmstellungsschwierigkeiten habe, ""und vielleicht zieht auch derÖVP-Klubobmann Schüssel in manchen Fragen an den Fäden"". Da hätten""noch nicht alle begriffen, dass das ein Team von gleichberechtigtenPartnern ist"".Im Hinblick auf die Regierungsklausur am 2./3. März, die ganz demThema Wachstum und Beschäftigung gewidmet sein wird, zeigte sich derSPÖ-Bundesgeschäftsführer sehr optimistisch, dass dabei einengagiertes Programm vorgelegt werden wird. (Schluss) wfRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NSKprintStichworteSPÖKalinaRegierungArbeitsmarktChannelPolitik"
Audio-OTS von Bundesgeschäftsführer Kalina auf www.spoe.at,"Wien (SK) - Der SPÖ-Pressedienst stellt in Kürze O-Töne von Bundesgeschäftsführer Josef Kalina auf der SPÖ-Homepage unter http://www.spoe.at/jump.php?P=261 als Download zur Verfügung. Themen: ""Kritik an Arbeitsminister...",2007-02-20T11:27:41+01:00,https://www.ots.at/presseaussendung/OTS_20070220_OTS0089/audio-ots-von-bundesgeschaeftsfuehrer-kalina-auf-wwwspoeat,"Wien (SK) - Der SPÖ-Pressedienst stellt in Kürze O-Töne vonBundesgeschäftsführer Josef Kalina auf der SPÖ-Homepage unterhttp://www.spoe.at/jump.php?P=261als Download zur Verfügung. Themen:""Kritik an Arbeitsminister Bartenstein; Klimaschutz"". **** (Schluss)mpRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NSKprintStichworteSPÖAudioKalinaChannelPolitik"
Bures: Frauenpolitik muss sich überall einmischen,"Wien (SK) - ""Es war eine gute und wichtige Entscheidung, wieder ein Frauenministerium zu installieren, weil man so die Koordinierungsfunktion übernehmen kann"", betonte die Neo-Frauenministerin Doris Bures im Rahmen...",2007-02-20T09:47:39+01:00,https://www.ots.at/presseaussendung/OTS_20070220_OTS0039/bures-frauenpolitik-muss-sich-ueberall-einmischen,"Wien (SK) - ""Es war eine gute und wichtige Entscheidung, wiederein Frauenministerium zu installieren, weil man so dieKoordinierungsfunktion übernehmen kann"", betonte dieNeo-Frauenministerin Doris Bures im Rahmen desStandard-Montagsgesprächs zum Thema Frauenpolitik. ""AlsFrauenministerin werde mich überall einmischen"", so Bures weiter,denn Frauenpolitik dürfe nicht auf jene Seiten im Regierungsabkommenbeschränkt sein, die explizit zum Thema ausgewiesen seien. Für dieFrauenministerin sind vor allem drei Bereiche von großer Wichtigkeit:Es müssen die Berufschancen für Frauen erhöht werden, die Armut mussbekämpft werden und es muss ""Null Toleranz"" bei Gewalt gegen Frauenherrschen. ****Zum Thema Berufschancen für Frauen hielt Bures fest, dasseinerseits die Vereinbarkeit von Familie und Beruf ermöglicht werdenmüsse und andererseits die Einkommensunterschiede von Frauen undMännern zu bekämpfen seien. ""Österreich hat kein Defizit bei derdirekten Familienförderung. Dort wo wir schlecht sind, ist dieInfrastruktur für die Kinderbetreuung"", bemerkte Bures. Sie werdedafür sorgen, dass die 50.000 fehlenden Kinderbetreuungsplätzeeingerichtet werden, denn wie die Erfahrung gezeigt habe, sei dieFrauenerwerbsquote in Ländern mit guter Infrastruktur wiebeispielsweise Frankreich besonders hoch.""Es ist ökonomisch nicht sinnvoll auf das Potential der Frauen zuverzichten"", unterstrich die Frauenministerin. Deshalb sei eswichtig, politische Anreize zu schaffen, damit in den UnternehmenUngerechtigkeiten beseitigt würden. So sei es für sie durchausvorstellbar, die Wirtschaftsförderung an die Frauenförderung in denBetrieben zu knüpfen. Auch bei der Förderung von Lehrplätzen müsseman endlich weg von der ""Gießkanne"", noch immer würden 70 Prozent derLehrstellen von Mädchen in klassischen Frauenberufen gefördert. Auchhier müssten Anreize geschaffen werden, um Mädchen in andereBerufssparten zu bringen.""Ich finde es unerträglich, dass in einem so reichen Land wieÖsterreich so viele Menschen unter der Armutsgrenze leben"", bemerkteBures. Vor allem Frauen seien betroffen, da diese besonders häufig inNiedriglohnbranchen anzutreffen seien, was sich später aufArbeitslosengeld und Notstandshilfe auswirken würde. Mit demMindestlohn von 1.000 Euro werde es gelingen, die Situation zuverbessern.Ein weiteres Thema des Abends war die Situation von Migrantinnenin Österreich. ""Migrantinnen haben es oft besonders schwer:Einerseits sind sie der Diskriminierung als Ausländerin ausgesetzt,andererseits werden sie als Frauen diskriminiert"", so Bures. Wichtigsei vor allem die Unterstützung bei der Integration und auch, dassbei Gewalt in der Familie die Frauen einen eigenständigenAufenthaltstitel unabhängig vom Ehemann bekommen, sei ein Schritt indie richtige Richtung. (Schluss) swRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NSKprintStichworteSPÖBuresFrauenpolitikChannelPolitik"
"H e u t e   Dienstag, 20. Februar: Kalina - Pressekonferenz um 10.30 Uhr!","Wien (SK) - SPÖ-Bundesgeschäftsführer Josef Kalina nimmt heute Dienstag, 20. Februar 2007, in einer Pressekonferenz zu aktuellen politischen Fragen Stellung. ****",2007-02-20T09:02:13+01:00,https://www.ots.at/presseaussendung/OTS_20070220_OTS0019/h-e-u-t-e-dienstag-20-februar-kalina-pressekonferenz-um-1030-uhr,"Wien (SK) - SPÖ-Bundesgeschäftsführer Josef Kalina nimmt heuteDienstag, 20. Februar 2007, in einer Pressekonferenz zu aktuellenpolitischen Fragen Stellung. ****Zeit: H e u t e Dienstag, 20. Februar 2007, 10.30 UhrOrt: SPÖ-Bundesgeschäftsstelle, 1. Löwelstraße 18,Sitzungssaal, 2. StockDie VertreterInnen der Medien sind herzlichst eingeladen.(Schluss) mpRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NSKprintStichworteSPÖTermin-AvisoKalinaChannelPolitik"
"Morgen Dienstag, 20. Februar: Kalina - Pressekonferenz um 10.30 Uhr!","Wien (SK) - SPÖ-Bundesgeschäftsführer Josef Kalina nimmt morgen Dienstag, 20. Februar 2007, in einer Pressekonferenz zu aktuellen politischen Fragen Stellung. ****",2007-02-19T14:17:16+01:00,https://www.ots.at/presseaussendung/OTS_20070219_OTS0157/morgen-dienstag-20-februar-kalina-pressekonferenz-um-1030-uhr,"Wien (SK) - SPÖ-Bundesgeschäftsführer Josef Kalina nimmt morgenDienstag, 20. Februar 2007, in einer Pressekonferenz zu aktuellenpolitischen Fragen Stellung. ****Zeit: Morgen Dienstag, 20. Februar 2007, 10.30 UhrOrt: SPÖ-Bundesgeschäftsstelle, 1. Löwelstraße 18,Sitzungssaal, 2. StockDie VertreterInnen der Medien sind herzlichst eingeladen.(Schluss) mpRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NSKprintStichworteSPÖTermin-AvisoKalinaChannelPolitik"
