Titel,Teaser,Datum,Link,Inhalt
"Wittmann zu aktueller Blutdoping-Affäre: Kriminelles Umfeld bestrafen, aber nicht Sportler kriminalisieren","Wien (SK) - Zu den sich verdichtenden Meldungen bezüglich Blutdoping, die auf ein Wiener Labor hinweisen, plädierte SPÖ-Sportsprecher Peter Wittmann am Samstag gegenüber dem SPÖ-Pressedienst dafür, das kriminelle...",2008-01-11T16:42:38+01:00,https://www.ots.at/presseaussendung/OTS_20080111_OTS0246/wittmann-zu-aktueller-blutdoping-affaere-kriminelles-umfeld-bestrafen-aber-nicht-sportler-kriminalisieren,"Wien (SK) - Zu den sich verdichtenden Meldungen bezüglichBlutdoping, die auf ein Wiener Labor hinweisen, plädierteSPÖ-Sportsprecher Peter Wittmann am Samstag gegenüber demSPÖ-Pressedienst dafür, das kriminelle Umfeld zu bestrafen, aber dieSportler nicht zu kriminalisieren. ""Sollten sich die Vorwürfe gegendieses Wiener Labor erhärten, so muss man davon ausgehen, dass essich hierbei sogar um einen Verstoß gegen das Arzneimittelgesetzhandelt, der unter Strafe gestellt ist. Sollte Blutdoping nicht vomArzneimittelgesetz umfasst sein, so muss das Gesetz erweitertwerden"", betonte Wittmann. ****Derartige Vorfälle würden den Standpunkt der SPÖ erhärten, dassdas Umfeld von Sportlern, wie etwa Trainer, Ärzte, Masseure, odereben Labors, die solche Doping-Methoden anwenden, unter strengeStrafe gestellt werden. ""Wenn nötig, ist hier auch der Strafrahmen zuerhöhen"", kann sich Wittmann eine strengere Vorgehensweisevorstellen, betonte aber abschließend: ""Trotz aller hitzigerDiskussion sollte man vermeiden, die Sportler zu kriminalisieren.""(Schluss) upRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖWittmannSportDopingChannelPolitik"
Dobnigg zu Pflege: SPÖ sorgt für Rechtssicherheit,Jahre der sozialen Gleichgültigkeit sind vorbei - Versäumnisse der Schüssel-Jahre werden korrigiert,2008-01-11T15:49:33+01:00,https://www.ots.at/presseaussendung/OTS_20080111_OTS0233/dobnigg-zu-pflege-spoe-sorgt-fuer-rechtssicherheit,"Jahre der sozialen Gleichgültigkeit sind vorbei - Versäumnisse der Schüssel-Jahre werden korrigiertWien (SK) - Als ""sinnvolle und gute Lösung"" bezeichneteSPÖ-Seniorensprecher Karl Dobnigg den heute erzielten Kompromiss inder Pflege-Frage. ""Wer jetzt legalisiert, hat für alle Verstöße, dievor dem 1. Jänner dieses Jahres passiert sind, nichts zu befürchten.Das betrifft Verwaltungsstrafen, Forderungen des Finanzministers undForderungen der Sozialversicherung."" Damit werde die Forderung derSPÖ - keine Rückforderung - auch gesetzlich festgehalten und dafürgesorgt, dass endlich Rechtsicherheit herrscht. ****Gleichzeitig werde das ""One-stop-shop""-Prinzip, das von Buchinger undHäupl diese Woche vorgestellt wurde, von SPÖ und ÖVP gemeinsam analle Bundesländer herangetragen. Ziel sei, dass es in allen Ländernab Februar mit einem Behördenweg zu einer Legalisierung kommt.""Nachdem die alte Regierung Schüssel die Pflegeproblematik geleugnetund keinen Finger für die Betroffenen gerührt hat, wird nun diePflege auf eine legale und leistbare Basis gestellt. Die Jahre derVerunsicherung und der sozialen Gleichgültigkeit gehören somitendgültig der Vergangenheit an"", so Dobnigg.Hacklerreglung: SPÖ-Forderung umgesetztErfreut zeigte sich der SPÖ-Seniorensprecher auch über dieVerlängerung der Hacklerregelung. ""Die SPÖ hat sich beharrlich umeine soziale Lösung der Pensionsfrage bemüht und dafür gekämpft, dassArbeitnehmerInnen mit genügend Versicherungsjahren auch weiterhinabschlagsfrei in Pension gehen können."" Es sei daher umsoerfreulicher, dass diese langjährige Forderung der SPÖ jetztsukzessive umgesetzt und damit Schritt für Schritt die soziale Kälteder Schüssel-Jahre zurückgedrängt wird, betonte der SPÖ-Abgeordnete.(Schluss) psRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖDobniggPflegeHacklerregelungChannelPolitik"
"Jarolim zu Einigung bei Sexualstraftätern: Erfreut, dass ÖVP zur Sachlichkeit zurückgekehrt ist",Sicherheit der Kinder wichtiger als platte Polemik,2008-01-11T14:55:29+01:00,https://www.ots.at/presseaussendung/OTS_20080111_OTS0203/jarolim-zu-einigung-bei-sexualstraftaetern-erfreut-dass-oevp-zur-sachlichkeit-zurueckgekehrt-ist,"Sicherheit der Kinder wichtiger als platte PolemikWien (SK) - Zu der heute von Justizministerin Maria Berger mitInnenminister Platter erzielten Grundsatzeinigung zum Maßnahmenpaketbei Sexualstraftätern meinte SPÖ-Justizsprecher Hannes Jarolim amFreitag gegenüber dem SPÖ-Pressedienst: ""Endlich ist die ÖVP indieser so wichtigen Frage, bei der es zu allervorderst um den Schutzder Opfer, vor allem Kinder, geht, zur Sachlichkeit zurückgekehrt.""****""Nach Wochen, die von platter Polemik geprägt waren und sich vorallem dadurch auszeichneten, dass die ÖVP sich in dieser so sensiblenFrage in verkürzten Darstellungen und populistischen Unwahrheitengeübt hat, scheint der Koalitionspartner nun endlich einedifferenzierte Sichtweise auf Basis von Expertenmeinungeneinzunehmen"", so der SPÖ-Justizsprecher, der Justizministerin Bergerdazu gratulierte, sich hier durchgesetzt zu haben. ""Der SPÖ ist dieSicherheit der Kinder zu wichtig, um politischem Kleingeld geopfertzu werden"", so Jarolim abschließend. (Schluss) upRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖJarolimJustizSexualstraftäterBergerChannelPolitik"
Lapp zu Pflege: Regierung macht Legalisierung ohne Angst möglich,"SPÖ-Wünsche nach One-Stop-Shop, keinerlei Rückforderungen im Steuer-, Arbeits- und Sozialversicherungsbereich umgesetzt",2008-01-11T14:52:27+01:00,https://www.ots.at/presseaussendung/OTS_20080111_OTS0198/lapp-zu-pflege-regierung-macht-legalisierung-ohne-angst-moeglich,"SPÖ-Wünsche nach One-Stop-Shop, keinerlei Rückforderungen im Steuer-, Arbeits- und Sozialversicherungsbereich umgesetztWien (SK) - ""Mit der heutigen Einigung im Ministerrat ist eineAnmeldung der Pflegerinnen, eine Legalisierung ohne Angst möglich"",so SPÖ-Sprecherin für behinderte Menschen, Christine Lapp am Freitaggegenüber dem SPÖ-Pressedienst. Mit dem Verzicht aufRückforderungsansprüche im Sozialversicherungs-, Arbeits- undSteuerrechtsbereich werde nach der Einrichtung des One-Stop-Shops dernächste Schritt gesetzt, um den betroffenen Menschen den Umstieg inslegale System der Pflege leichter zu machen. ""Damit wird derVorschlag der SPÖ - keine Rückforderungen - auch gesetzlichfestgehalten."" ****""Eine simple Amnestieverlängerung, wie von der ÖVP gefordert, hättekeine Verbesserung für die zu Pflegenden und die Pflegerinnengebracht, sondern nur den illegalen Status verlängert. Jetzt gibt esdank der SPÖ ein echtes, attraktives Angebot: Pflege legal undleistbar und mit einem Behördengang ohne Angst vor etwaigenNachforderungen. Hoffentlich hat damit auch die unsäglicheVerunsicherungskampagne der ÖVP ein Ende"", so Lapp.Es sei damit deutlich, dass die SPÖ-geführte Regierung die Sorgenund Anliegen der Menschen ernst nehme, denn auch die Einigung darauf,dass das Prinzip des One-Stop-Shop, wie von Sozialminister Buchingerund Wiens Bürgermeister Häupl vor wenigen Tagen präsentiert, in allenBundesländern kommen wird, sei ein Schritt dazu, die Pflege möglichsteinfach zu legalisieren. ""Nachdem das Problem der Pflege jahrelangvon der ÖVP-Regierung geleugnet wurde, hat die SPÖ ein gutes Modellvorgelegt. Es gibt jetzt wirklich keine Gründe mehr, nicht auf daslegale Pflegemodell umzusteigen. Es spricht also alles dafür: Absofort in allen Bundesländern mit einem Behördenweg zurLegalisierung"", erklärte die SPÖ-Abgeordnete abschließend. (Schluss)jsRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖLappPflegeChannelPolitik"
Hacklerregelung: Csörgits - SPÖ hat sich durchgesetzt,Langjährige Forderung der SPÖ umgesetzt- Österreich wieder ein Stück sozialer,2008-01-11T14:30:47+01:00,https://www.ots.at/presseaussendung/OTS_20080111_OTS0184/hacklerregelung-csoergits-spoe-hat-sich-durchgesetzt,"Langjährige Forderung der SPÖ umgesetzt- Österreich wieder ein Stück sozialerWien (SK) - SPÖ-Sozialsprecherin Renate Csörgits begrüßt dieerzielte Einigung über eine Verlängerung der Hacklerregelung. ""Es isterfreulich, dass die ÖVP ihre unverständliche Blockade dochaufgegeben und einer Verlängerung der Hacklerregelung zugestimmthat"", so Csörgits. Damit werde eine langjährige Forderung der SPÖumgesetzt, die mehr Gerechtigkeit bringt und Österreich wieder einStück sozialer macht, betonte die SPÖ-Sozialsprecherin am Freitaggegenüber dem SPÖ-Pressedienst. ****""Wer sein Leben lang schwere körperliche Arbeit verrichtet hat,soll auch eine abschlagsfreie Pension bekommen. Daher ist es absolutfair und sinnvoll, dass die Hacklerregelung jetzt auch verlängertwird"", sagte die SPÖ-Abgeordnete. Mit dem heutigen Beschluss zeigesich jedenfalls einmal mehr, dass nach sieben Jahren Sozialabbauunter der Regierung Schüssel unter einer SPÖ-geführten Regierungendlich wieder eine Politik mit sozialer Handschrift gemacht wird,unterstrich Csörgits abschließend. (Schluss) psRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖCsörgitsPensionenHacklerregelungChannelPolitikWirtschaft"
"Heinisch-Hosek zu Molterer: Hoffe, dass ÖVP auch beim Familiensplitting einiges dazulernt","Stichwort gender budgeting: Finanzminister soll auf den Tisch legen, was Splitting für Frauen bedeutet",2008-01-11T13:12:36+01:00,https://www.ots.at/presseaussendung/OTS_20080111_OTS0155/heinisch-hosek-zu-molterer-hoffe-dass-oevp-auch-beim-familiensplitting-einiges-dazulernt,"Stichwort gender budgeting: Finanzminister soll auf den Tisch legen, was Splitting für Frauen bedeutetWien (SK) - ""Ich freue mich ja sehr, dass der Obmann der ÖVPeingesteht, dass seine Partei in der Kinderbetreuung 'einigesdazugelernt' hat. Ich hoffe aber, dass die ÖVP auch beim ThemaFamiliensplitting dazulernen wird"", sagte SPÖ-FrauensprecherinGabriele Heinisch-Hosek in Reaktion auf das am Freitag in mehrerenTageszeitungen erschienene Interview mit ÖVP-Obmann Molterer. ImSinne des beschlossenen gender budgedings forderte Heinisch-Hosek denFinanzminister auf, in dieser Angelegenheit die Fakten auf den Tischzu legen. ""Welche Auswirkungen hat das für die Frauen? Dazu gibt esja bereits Berechnungen und die besagen, dass die Frauenerwerbsquotemit dem Familiensplitting zurückgehen würde"", erläuterte dieSPÖ-Frauensprecherin. ****Auch würden durch das Splitting hauptsächlich diejenigenprofitieren, die zu den Besserverdienern zählen,Durchschnittsverdiener aber kaum. Und Paare aus Niedriglohngruppensind ohnehin auf beide Einkommen angewiesen. ""De facto bedeutet dieIdee einen Nachschlag für Reiche. Das ist weder fair noch sozialgerecht"", sagte Heinisch-Hosek.Auch sei das Familiensplitting nicht mit dem im Regierungsabkommenfestgehaltenen Ziel der Anhebung der Frauenerwerbsquote um dreiProzent auf Basis von Vollzeitarbeitsplätzen zu vereinbaren. ""Ichstehe zu einer großzügigen Familienpolitik und dazu, dass dieFamilienförderungen in Österreich - was die Ausgaben betrifft - imSpitzenfeld liegen. Aber ebenso, wie es Verbesserungen dabei gebenmuss, was und wie gefördert wird, muss auch klar sein, dass dieFörderungen Frauen nicht aus dem Erwerbsleben drängen dürfen"", soHeinisch-Hosek abschließend. (Schluss) upRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖHeinisch-HosekFrauenFamilienÖVPMoltererChannelPolitik"
Swoboda: Entscheidung Großbritanniens für Rückkehr zu Atomenergie ist herber Rückschlag,SPE-Fraktionsspitze führte Gespräche mit Premierminister Brown in London,2008-01-11T12:53:31+01:00,https://www.ots.at/presseaussendung/OTS_20080111_OTS0145/swoboda-entscheidung-grossbritanniens-fuer-rueckkehr-zu-atomenergie-ist-herber-rueckschlag,"SPE-Fraktionsspitze führte Gespräche mit Premierminister Brown in LondonWien (SK) - Sowohl positive, als auch negative Ergebnissehinterließen laut dem SPÖ-Europaabgeordneten und Vizevorsitzendem derSPE-Fraktion im Europäischen Parlament, Hannes Swoboda, die gesternund heute von der SPE-Fraktionsspitze in London mit PremierministerBrown geführten Gespräche. Als positiv bezeichnet Swoboda das klareBekenntnis der britischen Regierung zum Reformvertrag, negativdagegen die Rückkehr des Landes zur Atomenergie. ****""Ich bin sehr froh, dass sich Premierminister Brown deutlich für denReformvertrag ausgesprochen hat. Er sagte zu, eine lange undintensive Debatte im britischen Parlament führen zu wollen, um dannden Reformvertrag noch vor dem Sommer beschließen zu können"", soSwoboda.Enttäuscht zeigt sich der Europaabgeordnete über den Entschluss, alteAtomreaktoren durch neue ersetzen zu wollen. ""Damit erfahren alleBemühungen um den Ausbau alternativer Energiestrategien einen herbenRückschlag. Wer auf Atomenergie setzt, reduziert die Anstrengungenhinsichtlich Energiesparens und der vermehrten Nutzung alternativerEnergien"", kritisiert Swoboda.""Die Entscheidung Großbritanniens fügt sich in die Strategie desfranzösischen Präsidenten ein, die Atomenergie in Europa und seinerUmgebung zu forcieren. Gegen diese katastrophale Entwicklung müssenalle, die an einer nachhaltigen Energiepolitik interessiert sind,kämpfen"", so Swoboda abschließend. (Schluss) js/mmRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖSwobodaEUGroßbritannienChannelPolitik"
Stadlbauer: Permanente Angriffe auf die Fristenregelung sind unerträglich,"Wien (SK) - Die frauenverachtende und konservative Welle, die uns in der vergangenen Woche eine Reihe von Angriffen auf die Fristenregelung beschert hat, hält Nationalratsabgeordnete und SPÖ-Bundesfrauengeschäftsführerin...",2008-01-11T12:24:32+01:00,https://www.ots.at/presseaussendung/OTS_20080111_OTS0135/stadlbauer-permanente-angriffe-auf-die-fristenregelung-sind-unertraeglich,"Wien (SK) - Die frauenverachtende und konservative Welle, die unsin der vergangenen Woche eine Reihe von Angriffen auf dieFristenregelung beschert hat, hält Nationalratsabgeordnete undSPÖ-Bundesfrauengeschäftsführerin Bettina Stadlbauer für äußerstbedenklich. ""Just in der Woche in der Simone de Beauvoir ihren 100.Geburtstag feiert, mehren sich die Angriffe auf die Fristenregelung"",so Stadlbauer. Die Prämienvorschläge der FPÖ, das Ansinnen vonÖVP-Justizsprecher Donnerbauer einer verpflichtenden Bedenkzeit, aufdas sich nun auch der Katholische Familienverband eingeschossen hat,seien Beispiele für diese reaktionären Ideen. ****""Der Gipfel der Frauenverachtung sei auch der Vorschlag einerMotivforschung, dem wir niemals zustimmen werden"", meinte Stadlbauer.""Wozu sollen die Frauen in einer für sie schwierigen Situation nochzusätzlich gequält werden?"", so Stadlbauer.""In der kommenden Zeit will ich endlich über Zukunftsprojektdiskutieren, wie eine Aufklärungs- und Verhütungskampagne, über diekostenlose Abgabe von Verhütungsmitteln, die rezeptfreie Abgabe der'Pille danach' und die rechtliche Verankerung von bundesweitenSchutzzonen vor Kliniken. Ich hoffe allen Beteiligten wird außerdemklar, dass eine kinderfreundliche Zukunft und eine moderneFamilienpolitik nicht mit einem Rütteln an der Fristenregelungbetrieben werden können. Hier handelt es sich um verschiedene Dinge,die nicht miteinander vermischt werden sollten"", so Stadlbauerabschließend. (Schluss) up/mmRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖStadlbauerFrauenChannelPolitik"
Gentechnik: Bayr fordert einheitliches Vorgehen auf EU-Ebene,EU muss als Schutzmacht der KonsumentInnen auftreten - Interessen der Bevölkerung im Vordergrund,2008-01-11T12:12:04+01:00,https://www.ots.at/presseaussendung/OTS_20080111_OTS0131/gentechnik-bayr-fordert-einheitliches-vorgehen-auf-eu-ebene,"EU muss als Schutzmacht der KonsumentInnen auftreten - Interessen der Bevölkerung im VordergrundWien (SK) - Ein einheitliches Vorgehen auf europäischer Ebenefordert SPÖ-Umweltsprecherin Petra Bayr angesichts der möglichenAufhebung des heimischen Genmais-Importverbots.""Landwirtschaftsminister Pröll muss die in den letzten Monaten in denEU-Staaten steigende Skepsis dafür nützen, noch mehr Bündnispartnergegen die Verwendung von Gentechnik in der Landwirtschaft zu finden"",so Bayr am Freitag gegenüber dem SPÖ-Pressedienst. Außerdem müssealles daran gesetzt werden, die rechtlichen Grundlagen für einAnbauverbot von gentechnisch veränderten Produkten zu schaffen. ****Aufgabe der EU müsse sein, als ""Schutzmacht der Konsumenten zufungieren"" und deren Interessen gegenüber der WTO zu vertreten. Dennzahlreiche Umfragen würden eindeutig belegen, dass eine breiteMehrheit der europäischen Bevölkerung Gentechnik in den Lebensmittelnentschieden ablehnt. Umso weniger nachvollziehbar sei es, dass dieEU-Kommission weiterhin den verlängerten Arm der Gentechnik-Lobbygibt und sich gegen die Interessen der Bürgerinnen und Bürger stellt,so Bayr. (Schluss) psRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖBayrUmweltGentechnikChannelPolitikChronik"
Csörgits zu Hacklerregelung: Was gilt jetzt in der ÖVP?,"Bartenstein, Molterer und Amon mit völlig unterschiedlichen Positionen",2008-01-10T15:14:42+01:00,https://www.ots.at/presseaussendung/OTS_20080110_OTS0174/csoergits-zu-hacklerregelung-was-gilt-jetzt-in-der-oevp,"Bartenstein, Molterer und Amon mit völlig unterschiedlichen PositionenWien (SK) - Angesichts der heutigen Aussagen vonWirtschaftsminister Bartenstein, der nun eine Verlängerung derHacklerregelung nicht mehr ausgeschlossen hat, stellt sich fürSPÖ-Sozialsprecherin Renate Csörgits die Frage: ""Was gilt jetzt inder ÖVP?"". Denn während ÖVP-Obmann Molterer noch am Sonntag in einemZeitungs-Interview eine solche Verlängerung absolut ausgeschlossenhat und von einer ""Frühpension durch die Hintertür"" gesprochen hatte,liegt vom ÖAAB ein Beschluss zur Verlängerung vor. ****""Amon dafür, Molterer dagegen, Bartenstein will erfreulicherweisejetzt erst einmal überlegen. Es wäre gut, wenn die ÖVP sich in dieserFrage endlich auf eine Position festlegen könnte"", so Csörgits amDonnerstag gegenüber dem SPÖ-Pressedienst. Die SPÖ sei auf jeden Fallfür eine Verlängerung der Hacklerregelung. ""Wer sein Leben langschwere körperliche Arbeit verrichtet hat, soll auch eineabschlagsfreie Pension bekommen. Die Hacklerregelung ist fair undsinnvoll. Deshalb wäre es der richtige Schritt, sie zu verlängern undwir würden uns freuen, wenn die ÖVP sich geschlossen zu dieserPosition durchringen könnte"", sagte Csörgits abschließend. (Schluss)jsRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖCsörgitsPensionenChannelPolitikWirtschaft"
